round,node_id,stake,reputation,train_acc,train_loss,val_acc,val_loss,reward,stake_penalty,rep_penalty,is_committee,is_malicious,detected
1,0,100.0,54.81771841776473,0.9901639344262295,0.05729993060231209,0.746,0.9900363922119141,0.0,0.0,0.0,0,0,0
1,1,80.0,25.0,0.988173455978975,0.08732376247644424,0.2071,2.165044736862183,0.0,0.8,0.5,0,1,1
1,2,100.0,54.47610229280715,0.9889958734525447,0.051551006734371185,0.5934,1.747682309150696,0.0,0.0,0.0,0,0,0
1,3,100.0,54.87829284127472,0.9880324543610548,0.049273502081632614,0.7739,1.0899922609329225,0.0,0.0,0.0,0,0,0
1,4,100.0,55.01087448113652,0.9892311545204108,0.06052481383085251,0.836,0.8103238224983216,0.0,0.0,0.0,1,0,0
1,5,100.0,54.692097813994955,0.983065198983912,0.07728146761655807,0.689,1.0233967900276184,0.0,0.0,0.0,0,0,0
1,6,100.0,54.51748242915223,0.9930763904915763,0.03638171777129173,0.6115,1.7794554471969604,0.0,0.0,0.0,1,0,0
1,7,80.0,25.0,0.9824660633484162,0.09087245911359787,0.1662,2.115039110183716,0.0,0.8,0.5,0,1,1
1,8,80.0,25.0,0.990261998608857,0.05543560907244682,0.1162,3.3792810440063477,0.0,0.8,0.5,0,1,1
1,9,100.0,54.810294893475564,0.9948676391139925,0.03787698969244957,0.7426,1.7422140836715698,0.0,0.0,0.0,0,0,0
1,10,100.0,54.39941024570905,0.992260917634052,0.044215284287929535,0.5601,2.2004712581634522,0.0,0.0,0.0,1,0,0
1,11,80.0,25.0,0.9884110224053567,0.055090468376874924,0.2218,2.5586781024932863,0.0,0.8,0.5,0,1,1
1,12,80.0,25.0,0.984399375975039,0.08119218796491623,0.1308,2.4006392478942873,0.0,0.8,0.5,0,1,1
1,13,100.0,54.57562964305511,0.9882797731568999,0.050881918519735336,0.6371,1.364144206047058,0.0,0.0,0.0,0,0,0
1,14,100.0,54.62433647586565,0.9779843444227005,0.09391006827354431,0.6587,1.9548487186431884,0.0,0.0,0.0,0,0,0
1,15,100.0,54.52249705926324,0.9848171152518979,0.07563942670822144,0.6137,2.211884689331055,0.0,0.0,0.0,0,0,0
1,16,100.0,54.64072261028922,0.9933042212518195,0.037092726677656174,0.666,1.5121847867965699,0.0,0.0,0.0,0,0,0
1,17,80.0,25.0,0.9917607567897467,0.034265704452991486,0.2192,2.0900649547576906,0.0,0.8,0.5,0,1,1
1,18,100.0,54.8388477663366,0.9873096446700508,0.057995639741420746,0.7557,1.6031336069107056,0.0,0.0,0.0,0,0,0
1,19,100.0,54.406810987783366,0.988243938280676,0.06758572161197662,0.5633,1.6264804363250733,0.0,0.0,0.0,0,0,0
2,0,100.0,59.06156814235717,0.9889716840536512,0.06095724180340767,0.7294,1.0870235919952393,0.0,0.0,0.0,0,0,0
2,1,64.0,12.5,0.985545335085414,0.08951719105243683,0.2344,2.1727957248687746,0.0,0.8,0.5,0,1,1
