round,node_id,stake,reputation,train_acc,train_loss,val_acc,val_loss,reward,stake_penalty,rep_penalty,is_committee,is_malicious,detected
1,0,100.0,54.83776042412421,0.9871833084947839,0.04165099188685417,0.7552,0.8956255435943603,0.0,0.0,0.0,0,0,0
1,1,80.0,25.0,0.9474375821287779,0.16683855652809143,0.1088,24.61445770263672,0.0,0.8,0.5,0,1,1
1,2,100.0,54.66891506851311,0.982806052269601,0.05627603083848953,0.6786,1.5862590551376343,0.0,0.0,0.0,0,0,0
1,3,100.0,54.951058461406504,0.9900608519269777,0.0334000289440155,0.8078,0.8943819999694824,0.0,0.0,0.0,0,0,0
1,4,100.0,55.060633184711236,0.9929877285249186,0.034356292337179184,0.8597,0.996173083782196,0.0,0.0,0.0,0,0,0
1,5,100.0,54.86076996430979,0.9754445385266723,0.08581000566482544,0.7658,0.8584654331207275,0.0,0.0,0.0,0,0,0
1,6,100.0,54.71165170030981,0.9942303254096468,0.022312825545668602,0.6978,1.4092069864273071,0.0,0.0,0.0,0,0,0
1,7,80.0,25.0,0.9717194570135747,0.08541040122509003,0.4448,15.30296630859375,0.0,0.8,0.5,0,1,1
1,8,80.0,25.0,0.9900301414328774,0.03293310105800629,0.2912,19.54346160888672,0.0,0.8,0.5,0,1,1
1,9,100.0,54.80810979591081,0.9827120475418692,0.06389949470758438,0.7416,1.3872214317321778,0.0,0.0,0.0,0,0,0
1,10,100.0,54.48160172171921,0.986180210060807,0.04544056951999664,0.5958,2.290490818023682,0.0,0.0,0.0,0,0,0
1,11,80.0,25.0,0.985063095544682,0.04425627738237381,0.3046,19.179315948486327,0.0,0.8,0.5,0,1,1
1,12,80.0,25.0,0.9724388975559022,0.09678176790475845,0.4268,15.823424339294434,0.0,0.8,0.5,0,1,1
1,13,100.0,54.77062523522509,0.9920604914933837,0.029899882152676582,0.7245,1.1338948726654052,0.0,0.0,0.0,0,0,0
1,14,100.0,54.764906192618035,0.9823874755381604,0.06652189791202545,0.7219,1.5288047790527344,0.0,0.0,0.0,0,0,0
1,15,100.0,54.67694884133798,0.9703243616287095,0.11665840446949005,0.6822,1.695956301689148,0.0,0.0,0.0,0,0,0
1,16,100.0,54.77721771757601,0.9930131004366812,0.0233425572514534,0.7275,1.328231430053711,0.0,0.0,0.0,0,0,0
1,17,80.0,25.0,0.9929813854134879,0.029664363712072372,0.2854,19.717408752441408,0.0,0.8,0.5,0,1,1
1,18,100.0,54.883474784439485,0.9890862944162436,0.04023418948054314,0.7763,1.535364031791687,0.0,0.0,0.0,0,0,0
1,19,100.0,54.576308373445386,0.9750183688464364,0.08305046707391739,0.6374,1.4002289056777955,0.0,0.0,0.0,0,0,0
2,0,100.0,59.183475793486835,0.9886736214605067,0.03561374917626381,0.7773,0.7681030631065369,0.0,0.0,0.0,0,0,0
2,1,64.0,12.5,0.9605781865965834,0.1611163169145584,0.1694,22.86996536254883,0.0,0.8,0.5,0,1,1
2,2,100.0,58.850909490041204,0.9900275103163686,0.03890455514192581,0.6934,1.5977890968322754,0.0,0.0,0.0,1,0,0
2,3,100.0,59.3587742988027,0.9906693711967546,0.03073490969836712,0.8125,0.8671116471290589,0.0,0.0,0.0,0,0,0
2,4,100.0,59.410463809543614,0.9541697971450037,0.1238522082567215,0.7915,1.2469462871551513,0.0,0.0,0.0,0,0,0
